group,label,hardness,p,epsilon,tau0,velocity,log_file,nonfinite_output,Fmax_N,t_peak_s,peak_position_ratio,contact_span_s,contact_duration_s,half_max_duration_s,rise_time_s,fall_time_s,rise_fall_ratio,impulse_Ns,loading_impulse_fraction,unloading_impulse_fraction,force_centroid_ratio,sample_count,max_rise_slope,max_fall_slope,contact_event_count,error
a1_hardness_speed,a1_k_2400,2400,2.4,0.51,0.0004,4.0,093_a1_hardness_speed_a1_k_2400_v4.txt,False,107.542,0.000136054,0.049999765718691,0.0018140584999999999,0.0015419485,0.00040816310000000005,9.070250000000001e-05,0.0017233559999999999,0.05263131935595432,0.05946402220852699,0.10243573126984896,0.8975642687301509,0.26265989247974314,81,1701248.473035012,-191969.12899669242,1,
a1_hardness_speed,a1_k_2400,2400,2.4,0.51,0.0004,6.0,094_a1_hardness_speed_a1_k_2400_v6.txt,False,168.755,0.000113379,0.03750016882035503,0.0018140584999999999,0.0015192785,0.00038548779999999995,6.80275e-05,0.0017460309999999999,0.03896122119252179,0.08879852072142,0.08679599662644864,0.9132040033735515,0.25546171873357043,81,3114523.4766732664,-318398.30657964386,1,
a1_hardness_speed,a1_k_3200,3200,2.4,0.51,0.0004,0.5,095_a1_hardness_speed_a1_k_3200_v0.5.txt,False,10.624,0.000362812,0.17283924739422624,0.0018367385,0.0017233571,0.000612245,0.0003174605,0.0015192780000000002,0.2089548456569502,0.0076965732951466545,0.24760250100695536,0.7523974989930448,0.3314994862058247,82,57047.53924854466,-14812.34840132304,1,
a1_hardness_speed,a1_k_3200,3200,2.4,0.51,0.0004,1.0,096_a1_hardness_speed_a1_k_3200_v1.txt,False,23.4521,0.000249433,0.11111080864260209,0.0018367385,0.0016326528,0.000498867,0.0002040815,0.001632657,0.12499961718842353,0.015143782733547849,0.1798954012601321,0.820104598739868,0.29533807390404504,82,184297.6846747519,-36476.29547960316,1,
a1_hardness_speed,a1_k_3200,3200,2.4,0.51,0.0004,2.0,097_a1_hardness_speed_a1_k_3200_v2.txt,False,51.1085,0.000181406,0.07500006201564062,0.0018140584999999999,0.0015646228,0.00043083899999999997,0.0001360545,0.0016780039999999999,0.08108115356101654,0.0299116205910955,0.14262354468435226,0.8573764553156478,0.2742490800740125,81,582966.2067110304,-86448.22720056427,1,
a1_hardness_speed,a1_k_3200,3200,2.4,0.51,0.0004,4.0,098_a1_hardness_speed_a1_k_3200_v4.txt,False,109.383,0.000136054,0.049999765718691,0.0018140584999999999,0.0015192785,0.0003854871,9.070250000000001e-05,0.0017233559999999999,0.05263131935595432,0.059328048230356,0.11655974755322751,0.8834402524467725,0.2587665633688896,81,1880400.605052987,-201490.56270947258,1,
a1_hardness_speed,a1_k_3200,3200,2.4,0.51,0.0004,6.0,099_a1_hardness_speed_a1_k_3200_v6.txt,False,171.898,9.07029e-05,0.024999965546866322,0.0018140584999999999,0.0014965985,0.00036281180000000005,4.5351399999999994e-05,0.0017687071,0.02564098939841424,0.08859775887566498,0.05477061018693377,0.9452293898130664,0.25252180591598006,81,3907623.5794264344,-346019.84564498346,1,
a1_effective_hardness_speed,a1_effective_k_20,20,2.4,0.51,0.0004,0.5,100_a1_effective_hardness_speed_a1_effective_k_20_v0.5.txt,False,4.51723,0.00192744,0.932586390874561,0.0020181385,0.0017006779999999997,0.0010657579999999998,0.0018820885,0.00013604999999999976,13.833800073502413,0.004821672320634978,0.8727010634726903,0.12729893652730986,0.699492628494229,90,4012.3484013230077,-134.03880070548541,1,
a1_effective_hardness_speed,a1_effective_k_20,20,2.4,0.51,0.0004,1.0,101_a1_effective_hardness_speed_a1_effective_k_20_v1.txt,False,11.056,0.0014059,0.6666680549985214,0.0020408185,0.001814061,0.001360546,0.0013605485,0.00068027,2.000012495038735,0.014212388233304596,0.5346247441579971,0.465375255842003,0.6343035775064088,91,13737.872640677353,-6918.8354653727365,1,
a1_effective_hardness_speed,a1_effective_k_20,20,2.4,0.51,0.0004,2.0,102_a1_effective_hardness_speed_a1_effective_k_20_v2.txt,False,26.6659,0.00102041,0.49425394562062797,0.0019727885,0.001814058,0.0012471679999999999,0.0009750585000000001,0.0009977299999999998,0.9772769186052341,0.032031538934731624,0.4168976879238262,0.583102312076174,0.5548858232894798,88,46392.66184512278,-22098.765432098677,1,
