time,force
1.03531,183.888
1.03533,184.157
1.03535,184.417
1.03537,184.67
1.0354,184.914
1.03542,185.151
1.03544,185.38
1.03546,185.601
1.03549,185.813
1.03551,186.018
1.03553,186.214
1.03556,186.401
1.03558,186.581
1.0356,186.751
1.03562,186.913
1.03565,187.066
1.03567,187.211
1.03569,187.347
1.03571,187.473
1.03574,187.591
1.03576,187.699
1.03578,187.799
1.0358,187.889
1.03583,187.97
1.03585,188.042
1.03587,188.104
1.0359,188.156
1.03592,188.199
1.03594,188.233
1.03596,188.257
1.03599,188.271
1.03601,188.275
1.03603,188.269
1.03605,188.253
1.03608,188.228
1.0361,188.192
1.03612,188.146
1.03615,188.09
1.03617,188.024
1.03619,187.947
1.03621,187.86
1.03624,187.763
1.03626,187.655
1.03628,187.537
1.0363,187.408
1.03633,187.268
1.03635,187.118
1.03637,186.958
1.03639,186.786
1.03642,186.604
1.03644,186.411
1.03646,186.207
1.03649,185.992
1.03651,185.766
1.03653,185.529
1.03655,185.282
1.03658,185.023
1.0366,184.753
1.03662,184.472
1.03664,184.181
1.03667,183.877
1.03669,183.563
1.03671,183.238
1.03673,182.901
1.03676,182.554
1.03678,182.195
1.0368,181.825
1.03683,181.443
1.03685,181.051
1.03687,180.647
1.03689,180.232
1.03692,179.805
1.03694,179.368
1.03696,178.919
1.03698,178.459
1.03701,177.987
1.03703,177.505
1.03705,177.011
1.03707,176.506
1.0371,175.99
1.03712,175.463
1.03714,174.924
1.03717,174.375
1.03719,173.814
1.03721,173.242
1.03723,172.659
1.03726,172.066
1.03728,171.461
1.0373,170.845
1.03732,170.219
1.03735,169.581
1.03737,168.933
1.03739,168.274
1.03741,167.604
1.03744,166.924
1.03746,166.233
1.03748,165.532
1.03751,164.82
1.03753,164.098
1.03755,163.365
1.03757,162.622
1.0376,161.869
1.03762,161.106
1.03764,160.333
1.03766,159.55
1.03769,158.756
1.03771,157.954
1.03773,157.141
1.03776,156.319
1.03778,155.487
1.0378,154.646
1.03782,153.796
1.03785,152.936
1.03787,152.067
1.03789,151.19
1.03791,150.303
1.03794,149.407
1.03796,148.503
1.03798,147.591
1.038,146.67
1.03803,145.74
1.03805,144.803
1.03807,143.857
1.0381,142.904
1.03812,141.943
1.03814,140.974
1.03816,139.997
1.03819,139.014
1.03821,138.023
1.03823,137.025
1.03825,136.02
1.03828,135.008
1.0383,133.99
1.03832,132.966
1.03834,131.935
1.03837,130.898
1.03839,129.855
1.03841,128.806
1.03844,127.752
1.03846,126.692
1.03848,125.627
1.0385,124.557
1.03853,123.482
1.03855,122.402
1.03857,121.318
1.03859,120.229
1.03862,119.136
1.03864,118.039
1.03866,116.939
1.03868,115.834
1.03871,114.727
1.03873,113.616
1.03875,112.502
1.03878,111.385
1.0388,110.266
1.03882,109.144
1.03884,108.021
1.03887,106.895
1.03889,105.767
1.03891,104.638
1.03893,103.507
1.03896,102.375
1.03898,101.242
1.039,100.108
1.03902,98.9743
1.03905,97.8397
1.03907,96.705
1.03909,95.5704
1.03912,94.4361
1.03914,93.3023
1.03916,92.1692
1.03918,91.037
1.03921,89.906
1.03923,88.7763
1.03925,87.6482
1.03927,86.5218
1.0393,85.3975
1.03932,84.2753
1.03934,83.1555
1.03937,82.0384
1.03939,80.9241
1.03941,79.8128
1.03943,78.7047
1.03946,77.6001
1.03948,76.4992
1.0395,75.4021
1.03952,74.3091
1.03955,73.2203
1.03957,72.136
1.03959,71.0563
1.03961,69.9815
1.03964,68.9117
1.03966,67.8472
1.03968,66.7881
1.03971,65.7346
1.03973,64.6869
1.03975,63.6452
1.03977,62.6096
1.0398,61.5804
1.03982,60.5577
1.03984,59.5417
1.03986,58.5326
1.03989,57.5305
1.03991,56.5355
1.03993,55.548
1.03995,54.5679
1.03998,53.5955
1.04,52.6308
1.04002,51.6742
1.04005,50.7256
1.04007,49.7853
1.04009,48.8534
1.04011,47.93
1.04014,47.0152
1.04016,46.1091
1.04018,45.212
1.0402,44.3239
1.04023,43.4448
1.04025,42.575
1.04027,41.7145
1.04029,40.8634
1.04032,40.0219
1.04034,39.1899
1.04036,38.3677
1.04039,37.5552
1.04041,36.7526
1.04043,35.9599
1.04045,35.1772
1.04048,34.4045
1.0405,33.642
1.04052,32.8896
1.04054,32.1475
1.04057,31.4156
1.04059,30.6941
1.04061,29.9828
1.04063,29.282
1.04066,28.5915
1.04068,27.9114
1.0407,27.2418
1.04073,26.5826
1.04075,25.9339
1.04077,25.2956
1.04079,24.6678
1.04082,24.0504
1.04084,23.4435
