schema_version,source_dataset,velocity,analysis_window,window_start_s,window_end_s,partial_index,pitch_lo_midi,pitch_hi_midi,f0_lo_hz,f0_hi_hz,db_c0,db_c1,db_c2,db_c3,energy_rel_fund_db_lo,energy_rel_fund_db_hi,energy_ratio_to_fund_lo,energy_ratio_to_fund_hi,amplitude_ratio_to_fund_lo,amplitude_ratio_to_fund_hi,source_observation_count,max_support_distance_semitones,anchor_status,smoothing_lambda,partial_cv_rmse_db,slice_cv_weighted_rmse_db,interpolation_status
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,98,99,2349.31814333926,2489.01586977665,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,99,100,2489.01586977665,2637.02045530296,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,100,101,2637.02045530296,2793.82585146403,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,101,102,2793.82585146403,2959.95538169308,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,102,103,2959.95538169308,3135.96348785399,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,103,104,3135.96348785399,3322.43758063956,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,104,105,3322.43758063956,3520,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,105,106,3520,3729.31009214472,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,106,107,3729.31009214472,3951.06641004899,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,107,108,3951.06641004899,4186.00904480958,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
